"id","trial_number","rt","response","attempt","correct","incorrect","ssd","answer","task","ReflectionSum","BroodingSum","DepressiveSum","IntrusiveSum","DeliberateSum","ReappraisalSum","SuppressionSum","SSRT"
"82",231,225,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",232,283.8,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",233,675.4000001,"Right",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",234,796.2,"Left",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",235,314.5999999,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",236,248.4000001,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",237,176.2,"Left",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",238,269.7,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",239,338.6000001,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",240,325.8,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"49",1,169.6,"Right",1,1,0,250,"Right","NoStop",5,8,12,13,8,33,4,209
"49",2,364.9,"Right",1,1,0,250,"Right","NoStop",5,8,12,13,8,33,4,209
"49",3,1250.502,"NoGo",NA,1,0,250,"NoGo","Stop",5,8,12,13,8,33,4,209
"49",4,183,"Left",1,1,0,300,"Left","NoStop",5,8,12,13,8,33,4,209
"49",5,258.6999999,"Left",1,1,0,300,"Left","NoStop",5,8,12,13,8,33,4,209
"49",6,352.4000001,"Right",1,1,0,300,"Right","NoStop",5,8,12,13,8,33,4,209
"49",7,322.4,"Right",1,1,0,300,"Right","NoStop",5,8,12,13,8,33,4,209
"49",8,242.6,"Right",1,1,0,300,"Right","NoStop",5,8,12,13,8,33,4,209
"49",9,398.6,"Right",1,1,0,300,"Right","NoStop",5,8,12,13,8,33,4,209
"49",10,1200.47,"NoGo",NA,1,0,300,"NoGo","Stop",5,8,12,13,8,33,4,209
"49",11,99.5,"Right",1,1,0,350,"Right","NoStop",5,8,12,13,8,33,4,209
"49",12,142.8,"Left",1,1,0,350,"Left","NoStop",5,8,12,13,8,33,4,209
"49",13,196.2,"Right",1,1,0,350,"Right","NoStop",5,8,12,13,8,33,4,209
"49",14,195.8,"Right",1,1,0,350,"Right","NoStop",5,8,12,13,8,33,4,209
"49",15,305.2,"Right",1,1,0,350,"Right","NoStop",5,8,12,13,8,33,4,209
"49",16,1150.324,"NoGo",NA,1,0,350,"NoGo","Stop",5,8,12,13,8,33,4,209
"49",17,246.6999999,"Right",1,1,0,400,"Right","NoStop",5,8,12,13,8,33,4,209
"49",18,64.19999993,"Right",1,1,0,400,"Right","NoStop",5,8,12,13,8,33,4,209
"49",19,43.5,"Right",1,1,0,400,"Right","NoStop",5,8,12,13,8,33,4,209
"49",20,1.399999976,"Right",1,1,0,400,"Right","NoStop",5,8,12,13,8,33,4,209
"49",21,1.399999976,"Right",1,1,0,400,"Right","NoStop",5,8,12,13,8,33,4,209
"49",22,161,"Left",1,0,1,400,"NoGo","Stop",5,8,12,13,8,33,4,209
"49",23,74.4000001,"Left",1,1,0,350,"Left","NoStop",5,8,12,13,8,33,4,209
"49",24,318.4000001,"Left",1,1,0,350,"Left","NoStop",5,8,12,13,8,33,4,209
"49",25,337.5,"Right",1,1,0,350,"Right","NoStop",5,8,12,13,8,33,4,209
"49",26,462.5,"Left",1,1,0,350,"Left","NoStop",5,8,12,13,8,33,4,209
"49",27,348.4,"Left",1,1,0,350,"Left","NoStop",5,8,12,13,8,33,4,209
"49",28,256.1999999,"Left",1,1,0,350,"Left","NoStop",5,8,12,13,8,33,4,209
"49",29,346.5,"Right",1,1,0,350,"Right","NoStop",5,8,12,13,8,33,4,209
"49",30,223.6,"Right",1,1,0,350,"Right","NoStop",5,8,12,13,8,33,4,209
"49",31,279.6,"Left",1,1,0,350,"Left","NoStop",5,8,12,13,8,33,4,209
"49",32,353.3,"Right",1,1,0,350,"Right","NoStop",5,8,12,13,8,33,4,209
"49",33,240,"Left",1,1,0,350,"Left","NoStop",5,8,12,13,8,33,4,209
"49",34,1150.379,"NoGo",NA,1,0,350,"NoGo","Stop",5,8,12,13,8,33,4,209
"49",35,31.80000007,"Left",1,0,1,400,"NoGo","Stop",5,8,12,13,8,33,4,209
"49",36,240.5,"Right",1,1,0,350,"Right","NoStop",5,8,12,13,8,33,4,209
"49",37,198,"Right",1,1,0,350,"Right","NoStop",5,8,12,13,8,33,4,209
"49",38,325.8,"Left",1,1,0,350,"Left","NoStop",5,8,12,13,8,33,4,209
"49",39,120.3000001,"Right",1,1,0,350,"Right","NoStop",5,8,12,13,8,33,4,209
"49",40,1150.499,"NoGo",NA,1,0,350,"NoGo","Stop",5,8,12,13,8,33,4,209
"49",41,318.1999999,"Right",1,1,0,400,"Right","NoStop",5,8,12,13,8,33,4,209
"49",42,33.80000007,"Left",1,1,0,400,"Left","NoStop",5,8,12,13,8,33,4,209
"49",43,2.200000048,"Left",1,1,0,400,"Left","NoStop",5,8,12,13,8,33,4,209
"49",44,163.6999999,"Left",1,1,0,400,"Left","NoStop",5,8,12,13,8,33,4,209
"49",45,170.1999999,"Right",1,1,0,400,"Right","NoStop",5,8,12,13,8,33,4,209
"49",46,140.6,"Right",1,1,0,400,"Right","NoStop",5,8,12,13,8,33,4,209
"49",47,273,"Right",1,1,0,400,"Right","NoStop",5,8,12,13,8,33,4,209
"49",48,94,"Right",1,0,1,400,"NoGo","Stop",5,8,12,13,8,33,4,209
"49",49,279.1999999,"Left",1,1,0,350,"Left","NoStop",5,8,12,13,8,33,4,209
"49",50,219.5999999,"Right",1,1,0,350,"Right","NoStop",5,8,12,13,8,33,4,209
"49",51,126.4,"Left",1,1,0,350,"Left","NoStop",5,8,12,13,8,33,4,209
