"id","trial_number","rt","response","attempt","correct","incorrect","ssd","answer","task"
16,"226",178.9,"Right",1,1,0,200,"Right","NoStop"
16,"227",375.1,"Right",1,0,1,200,"NoGo","Stop"
16,"228",1351.35,"NoGo",NA,1,0,150,"NoGo","Stop"
16,"229",378.5,"Left",1,1,0,200,"Left","NoStop"
16,"230",429.5,"Left",1,1,0,200,"Left","NoStop"
16,"231",341.0999999,"Right",1,1,0,200,"Right","NoStop"
16,"232",435.6,"Left",1,1,0,200,"Left","NoStop"
16,"233",361.9,"Left",1,1,0,200,"Left","NoStop"
16,"234",295.9,"Left",1,1,0,200,"Left","NoStop"
16,"235",252.6,"Left",1,1,0,200,"Left","NoStop"
16,"236",243.5,"Right",1,1,0,200,"Right","NoStop"
16,"237",1301.288,"NoGo",NA,1,0,200,"NoGo","Stop"
16,"238",345.8,"Right",1,1,0,250,"Right","NoStop"
16,"239",1251.244,"NoGo",NA,1,0,250,"NoGo","Stop"
16,"240",1201.2,"NoGo",NA,1,0,300,"NoGo","Stop"
5,"1",70.79999995,"Right",1,1,0,250,"Right","NoStop"
5,"2",32.60000002,"Left",1,1,0,250,"Left","NoStop"
5,"3",41.20000005,"Left",1,1,0,250,"Left","NoStop"
5,"4",173.1999999,"Left",1,1,0,250,"Left","NoStop"
5,"5",134.1,"Right",1,0,1,250,"NoGo","Stop"
5,"6",92.20000005,"Left",1,1,0,200,"Left","NoStop"
5,"7",113.3,"Right",1,1,0,200,"Right","NoStop"
5,"8",152.4000001,"Left",1,0,1,200,"NoGo","Stop"
5,"9",679.3000001,"Left",1,1,0,150,"Left","NoStop"
5,"10",270,"Left",1,1,0,150,"Left","NoStop"
5,"11",241.4,"Right",1,1,0,150,"Right","NoStop"
5,"12",233.8000001,"Right",1,1,0,150,"Right","NoStop"
5,"13",202.6999999,"Right",1,1,0,150,"Right","NoStop"
5,"14",213.9000001,"Left",1,1,0,150,"Left","NoStop"
5,"15",217.1,"Left",1,1,0,150,"Left","NoStop"
