"Schedule.ID","Participant.Public.ID","Trial.Number","Reaction.Time","Response","Attempt","Correct","Incorrect","ssd","display","ANSWER","Task"
23220956,3,"83",428.3,"Left",1,1,0,150,"craving","Left","NoStop"
23220956,3,"84",218,"Right",1,1,0,150,"craving","Right","NoStop"
23220956,3,"85",193.4,"Left",1,0,1,150,"craving","NoGo","Stop"
23220956,3,"86",1399.861,"NoGo",NA,1,0,100,"craving","NoGo","Stop"
23220956,3,"87",246.4,"Right",1,1,0,150,"craving","Right","NoStop"
23220956,3,"88",202.3,"Right",1,1,0,150,"craving","Right","NoStop"
23220956,3,"89",215.7,"Right",1,1,0,150,"craving","Right","NoStop"
23220956,3,"90",203.5,"Right",1,1,0,150,"craving","Right","NoStop"
23220956,3,"91",276.1999999,"Left",1,1,0,150,"craving","Left","NoStop"
23220956,3,"92",352.0999999,"Right",1,1,0,150,"craving","Right","NoStop"
23220956,3,"93",1349.506,"NoGo",NA,1,0,150,"craving","NoGo","Stop"
23220956,3,"94",142.1,"Right",1,1,0,200,"craving","Right","NoStop"
23220956,3,"95",158.7,"Right",1,0,1,200,"craving","NoGo","Stop"
23220956,3,"96",631.8000001,"Right",1,0,1,150,"craving","Left","NoStop"
23220956,3,"97",202,"Right",1,1,0,150,"craving","Right","NoStop"
23220956,3,"98",532.5,"Left",1,1,0,150,"craving","Left","NoStop"
23220956,3,"99",217.4,"Left",1,1,0,150,"craving","Left","NoStop"
23220956,3,"100",269.4,"Right",1,1,0,150,"craving","Right","NoStop"
23220956,3,"101",196.2,"Right",1,1,0,150,"craving","Right","NoStop"
23220956,3,"102",245.4,"Left",1,1,0,150,"craving","Left","NoStop"
23220956,3,"103",194.8000001,"Right",1,0,1,150,"craving","NoGo","Stop"
23220956,3,"104",212.0999999,"Right",1,1,0,100,"craving","Right","NoStop"
23220956,3,"105",294.6,"Left",1,1,0,100,"craving","Left","NoStop"
23220956,3,"106",290.8000001,"Left",1,1,0,100,"craving","Left","NoStop"
23220956,3,"107",269.1,"Right",1,1,0,100,"craving","Right","NoStop"
23220956,3,"108",453,"Left",1,1,0,100,"craving","Left","NoStop"
23220956,3,"109",203.5,"Right",1,0,1,100,"craving","NoGo","Stop"
23220956,3,"110",317.3,"Right",1,1,0,50,"craving","Right","NoStop"
